id,user_type,filename,n_pages,page,source_id,source,task,content,result
pdfminer_2665582_2,other,../24212003_requirements_for_artificial_intelligence/attachments/2665582.pdf,3,2,2665582,attachments/2665582.pdf#page=2,Is the line order correct?,"<pre>SHERPA  (Shaping  the  ethical  dimensions  of  smart  information  systems  (SIS)  –  a  European 
perspective) is a project that focuses on ethical and human rights aspects of smart information 
systems (artificial intelligence and big data analytics).  
Regulatory  governance  systems  are  a  key  part  of  the  SHERPA  Final  Recommendations,1  which 
include a call for creating an EU regulatory framework2 and establishing an EU Agency for AI.3 
SHERPA believes a robust, mandatory legal framework at the EU level is needed to ensure that 
ethical issues and human rights concerns related to AI are adequately addressed. There are many 
specific  elements  of  the  SHERPA  recommendations  that  appear  in  the  proposed  text  of  the 
Regulation,  like  red  lines  for  some  AI  applications,  mandatory  requirements  for  high-risk  AI 
systems, and the creation of a centralised body. However, the draft text does not do enough to 
protect  fundamental  rights,  often  lacks  conceptual  clarity,  and  leaves  many  questions 
unanswered 
For more information, please visit: https://www.project-sherpa.eu 
Risk-based approach 
The proposed Regulation adopts a four-tiered risk-based approach, where AI systems are subject 
to different rules depending on the level of risk. While one purpose of the regulatory framework 
is to guarantee safety and fundamental rights of EU citizens, the risk-based approach adopted by 
the Commission may not be sufficient.  There is no reference to the EU Agency for Fundamental 
Rights, nor are there provisions on complaint and redress mechanisms available to those whose 
rights are violated by AI systems. Furthermore, the proposed regulation has a somewhat binary 
approach,  failing  to  adequately  take  into  account  impacts  across  the  spectrum  of  risk.  Most 
mandatory requirements apply only to high-risk systems; by comparison, low-risk AI systems are 
only subject to transparency requirements and minimal-risk AI systems have no requirements. 
Definition of AI 
SHERPA  recommended  that  AI  be  clearly  defined  in  each  use  context  with  regard  to  relevant 
issues. While it is a challenge to precisely define AI, definitions used in the proposed Regulation 
are  often  overly  broad  and  too  open  to  interpretation.  Additionally,  despite  attempts  to  be 
“technology neutral and as future proof as possible”, the proposed definition of AI is linked to 
‘software’, leaving out potential future developments of AI. The proposal takes into account the 
difficulty of defining AI by moving the definition into an appendix which is subject to review and 
revision. While this is reasonable in light of the problematic nature of the term AI, it does add to 
uncertainty about the future scope of the Regulation.  
Red lines 
Under  the  proposal’s  risk-based  approach,  AI  systems  that  pose  the  highest  level  of  risk  to 
fundamental  rights  and  safety  are  prohibited.  The  short  list  of  banned  AI  systems  –  only  four 
categories – includes social scoring and AI that subliminally manipulates human behaviour in a 
harmful  way.  While  SHERPA  welcomes  the  explicit  inclusion  of  red  lines  in  the  regulatory 
framework, the short list is incomplete and has many loopholes.  For example, use of remote, 
1 https://www.project-sherpa.eu/recommendations/ 
2 https://www.project-sherpa.eu/regulatory-framework/ 
3 https://www.project-sherpa.eu/european-agency-for-ai/ 
2 
This project has received funding from the European Union’s Horizon 2020 Research and Innovation Programme Under Grant Agreement no. 786641 
 
 
 
 
 
 
 
 
 
</pre>",POSITIVE
tika_2665527_2,ngo,../24212003_requirements_for_artificial_intelligence/attachments/2665527.pdf,5,2,2665527,attachments/2665527.pdf#page=2,Is the line order correct?,"<pre>I. Introduction


Moje Państwo Foundation (“Foundation”) is an organization working for the


development of democracy, open and transparent public authority and civic engagement.


By exercising the right of access to public information and the right to re-use public


sector information, the Foundation collects publicly available data sets and makes them


available to citizens through the Foundation's services.


Due to the fact that the context of the consultations run by the European Commission


from 26th April to 6th August 2021 are related to many relevant aspects for the


Foundation’s activity, we present our position in regards to the Proposal for a Regulation


Laying Down Harmonised Rules on Artificial Intelligence (Artificial Intelligence Act) (“the


AI Act” or “the European Commission’s Proposal”) below – with particular emphasis


on the use of artificial intelligence systems (“AI systems”) by public institutions.


II. General remarks


We appreciate the work of the European Commission undertaken to create a regulation


that aims to ensure that artificial intelligence is safe, lawful and in line with EU


fundamental rights. The European Commission’s Proposal contains many valuable


solutions creating a legal framework for artificial intelligence.


From the perspective of our Foundation, the AI Act should – to a greater extent


– ensure transparency of the public sector in relation to the use of artificial


intelligence systems.


AI systems can be used by public institutions in many key areas, such as, for example,


health protection, education, social services, the judiciary and the economy. As a


consequence, these systems can have a very broad and varied impact and can affect


many different social groups, including those particularly vulnerable to discrimination.


The use of AI systems by the state in many situations may lead to shaping the scope of


rights and obligations of citizens by these systems.


The European Commission’s Proposal presupposes measures to regulate the use of AI


systems in relation to public authorities - for example, the proposal prohibits AI-based


social scoring for general purposes done by public authorities; the use of ‘real time’


remote biometric identification systems in publicly accessible spaces for the purpose of


law enforcement is also prohibited unless certain limited exceptions apply; Annex III


1</pre>",POSITIVE
PyPDF2_2665345_14,consumer_organisation,../24212003_requirements_for_artificial_intelligence/attachments/2665345.pdf,17,14,2665345,attachments/2665345.pdf#page=14,Is the line order correct?,"<pre>Es ist deshalb zu definieren, wann man noch von Daten ohne Personenbezug reden kann. (siehe dazu 
auch https://www.akeuropa.eu/de/evaluation -der-datenschutz -grundverordnung -dsgvo )  
Die DSGVO enthält allgemeine Grundsätze, die die vielen Rechtskonflikte zwischen Geheimhaltungs - 
und V erwertungsinteressen nicht unmittelbar lösen können. Unzulässige Verarbeitungspraktiken aus-
zuforschen und rechtlich richtig zu würdigen, überfordert nicht nur KonsumentInnen, sondern aufwands-
bedingt zunehmend auch die Aufsichtsbehörden. Dies schadet der Re chtssicherheit und mindert das 
Vertrauen in die Vorteile von KI. Die Ausstattung der Behörden entspricht nicht dem Bedarf, um rasch, 
sorgfältig, technikkundig und investigativ den vielfältigen Aufsichtsaufgaben nachzukommen. Die Ver-
lagerung von einer ex -ante Prüfpflicht in sensiblen Fällen zu einer nachträglichen Aufarbeitung von 
Rechtsverletzungen samt Schadenersatzansprüchen eröffnet schwerwiegende Schutzlücken, wenn 
Rechtsdurchsetzung nicht rasch und reibungslos funktioniert.  
 
Verbot von Anwendungen, bei  denen die „Accountability“ an Grenzen stößt:  
Mit der Selbstlernfähigkeit der Systeme können Softwareentwickler oft selbst nicht mehr nachvollziehen, 
welchen logischen Weg Algorithmen einschlagen. Entscheidet KI aber selbst darüber, welche Daten sie 
für we lchen Zweck nutzt, widerspricht dies fundamental dem Rechtsgrundsatz der „Accountability“ (Zu-
rechnung, Verantwortung, Haftung), und kollidiert auch mit der Pflicht, im Erhebungszeitpunkt bereits 
den genauen Verwendungszweck der Daten anzugeben  
Alle Entsche idungen, Produkte und Dienste die auf Algorithmen basieren, müssen erklär - und überprüf-
bar bleiben. KonsumentInnen dürfen angesichts einer Vielzahl an Beteiligten (Entwickler, Hersteller, 
Anwender, Dienstleister) nicht zum Spielball unklarer Verantwortlich keiten werden. Sie sollen im Sinne 
einer Solidarhaftung Unterlassungs - und Schadenersatzansprüche gegen jeden Beteiligten in der Wert-
schöpfungskette richten können (mit anbieterseitigen Regressmöglichkeiten).  
 
Einbindung der Betroffenen :  
Daten - und Privatsphärenschutz sollten wirtschaftlichen Interessen grundsätzlich vorgehen. Wie verhält 
es sich aber, wenn Eingriffe in diese Rechte mit lebenswichtigen Interessen einzelner Personen, von 
Gruppen oder der Gesamtgesellschaft begründet werden?  Interessenskollisionen sind vorprogram-
miert, sobald KI -Anwendungen im Gesundheitssektor Verbesserung bei der Erkennung, Behandlung 
und Heilung von Krankheiten oder im sicherheitspolizeilichen Einsatz eine bessere Kriminalitätspräven-
tion bzw -aufklärung ve rsprechen. Der Preis für diesen (potentiellen) Fortschritt ist hoch: Interessen von 
großen Bevölkerungsteilen können damit gefährdet werden. Vor diesem Hintergrund braucht es für die 
Mehrzahl an KI -Anwendungen, die Grundrechte berühren, eine ex ante -Genehm igung durch ein unab-
hängiges Gremium. In dieses sind neben Datenschutzbehörden und Technikexperten auch VertreterIn-
nen der jeweils betroffenen Gruppen (ArbeitnehmerInnen, KonsumentInnen, PatientInnen, etc) mitein-
zubeziehen. Denn auch bei der Klärung von Re chtsfragen wird sorgfältig zwischen verschiedenen Inte-
ressen, Verhältnismäßigkeiten, Werten etc. abzuwägen sein. Diese Entscheidungen können abhängig 
von der jeweiligen Betroffenheit und dem jeweiligen weltanschaulichen Hintergrund sehr verschieden 
ausfall en. Die gesellschaftliche Akzeptanz von Entscheidungen für oder gegen einzelne KI -Anwendun-
gen und flankierende Auflagen fällt höher aus, wenn bei der Zusammensetzung des Entscheidungsgre-
miums auf eine breite Beteiligung aller betroffenen Gruppen geachtet w ird.   
 
Produkthaftungsregeln aktualisieren : 
Die Produkthaftungs -RL aus dem Jahr 1985 kennt für digitale Trends wie KI keine Antworten. Eine 
überarbeitete RL muss auf alle materiellen und nicht materiellen Sachen, digitale Dienstleistungen und 
digitalen In halte anwendbar sein und sollte deshalb auch Cybersicherheitsrisiken, mangelnde Software-
updates und unzureichende DSGVO -Konformität zu den „Defekten “ eines Produktes zählen. Ebenso 
Schäden, die durch die Fähigkeit selbst zu lernen und autonome Entscheidung en zu treffen oder durch 
einen Missbrauch der verwendeten Daten entstehen. Ausgezeichnete Detailvorschläge für die Überar-
beitung der Produkthaftungs -RL enthält das BEUC -Positionspapier „ Product Liability 2.0 “  
 </pre>",POSITIVE
pdfminer_2665616_3,trade_union,../24212003_requirements_for_artificial_intelligence/attachments/2665616.pdf,3,3,2665616,attachments/2665616.pdf#page=3,Is the line order correct?,"<pre>14. In order to make these provisions effective, FNA calls for greater market vigilance by a dedicated service being empowered to taking 
emergency measures to restore competition. In 2010, the European Economic and Social Committee (EESC) recommended this continuous 
market surveillance to ensure consumer’s choice: “fair competition is the best way to promote  economic efficiency, consumer choice and 
safety in the car repair market. The actual choice should be analysed regularly. If the analysis concludes that there is market distortion, any 
corrective measures to be introduced should be assessed.7” 
15.  National  competition  authorities  do  need  more  complete  powers,  in  order  to  give  consumers  the  best  possible  protection  from 
anticompetitive behaviours, as stressed by Commissioner Margrethe VESTAGER’s statement.8 They need the financial and human resources 
to collect and go through the evidence. 
Federation of Craft Businesses in the automotive sector and in mobility services (FNA)                                                    August 2021 
7 Information Report of the European Economic and Social Committee (EESC) INT / 501 of 6 September 2010, paragraph 1.1 
 Collision damage claims management: how to ensure the consumer's freedom of choice and security? INT/501 – CESE 395/2010 fin EN/o-FR/NT/nm 
8 Statement 17/726 by Commissioner VESTAGER on Commission proposal to make national competition  authorities even more effective  enforcers for the 
benefit of jobs and growth, 22 March 2017 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
</pre>",POSITIVE
pdfminer_2662780_1,trade_union,../24212003_requirements_for_artificial_intelligence/attachments/2662780.pdf,4,1,2662780,attachments/2662780.pdf#page=1,Is the line order correct?,"<pre>Education International 
Internationale de l'Education 
Internacional de la Educación 
http://www.ei-ie.org 
EUROPEAN REGION- 
ETUCE 
President 
Larry FLANAGAN 
Vice-Presidents 
Odile CORDELIER  
Andreas KELLER 
Trudy KERPERIEN 
Dorte LANGE 
Galina MERKULOVA  
Branimir STRUKELJ  
Boulevard Bischoffsheim, 15 
1000 Brussels, Belgium 
Tel +32 2 224 06 91/92 
Fax +32 2 224 06 94 
secretariat@csee-etuce.org 
http://www.csee-etuce.org 
European Director 
Susan FLOCKEN 
Treasurer 
Joan DONEGAN 
ETUCE  
European Trade Union Committee for Education 
EI European Region  
ETUCE position on the EU Regulation on Artificial Intelligence 
(Adopted by the ETUCE Bureau on 7 June 2021) 
Background: 
On 21 April 2021, the European Commission published a proposal for a “Regulation on a 
European Approach for Artificial intelligence” (the AI Regulation). With this proposal, the 
European  Commission  follows  up  on  its  White  Paper  on  Artificial  Intelligence  (February 
2020), based on the results of a broad consultation process to which ETUCE contributed. 
The aim of the initiative is to establish the first EU legal framework regulating the entire 
lifecycle of the use of Artificial Intelligence (AI) in all sectors, including education.  
The AI Regulation classifies the use of Artificial Intelligence in various sectors based on the 
risk  that  the  AI  tools  have  on  the  health  and  safety  and  the  fundamental  rights  of 
individuals. Concerning education, the proposal considers the use of Artificial Intelligence 
tools in education as high-risk as potentially harmful to the right to education and training 
as  well  as  the  right  not  to  be  discriminated  in  education.  For  high-risk  sectors,  the  AI 
Regulation establishes stricter horizontal legal requirements to which AI tools must comply 
before being authorised on the market. These include risk management system during the 
entire lifecycle of the AI system.     
Following  the  publication  of  the  proposal,  on  26  April  2021,  the  European  Commission 
issued  a  public  consultation  that  will  run  until  20  July  2021,  accompanied  by  an  impact 
assessment report.  
The following text is the ETUCE response to the public consultation bringing the perspective 
of teachers, academics and other education personnel on the sections of the AI Regulation 
that touch upon the education sector.  
ETUCE reply: 
ETUCE  welcomes  the  publication  of  the  AI  Regulation  as  it  sets  the  ground  for  the  first 
comprehensive EU regulation on Artificial Intelligence to ensure a controlled development 
of AI tools in education and address the risks connected to their use by teachers, academic, 
other education personnel and students. While ETUCE recognises the potential of digital 
technologies and Artificial Intelligence tools to bring about improvements in education, it 
also  underlines  the  numerous  ethical  concerns  related  to  their  trustworthiness,  data 
privacy,  accountability,  transparency  and  their  impact  on  equality  and  inclusion  in 
education. ETUCE underlines that further research at national and European level is needed 
to assess and address the risks connected to the use of Artificial Intelligence in education 
with constant and meaningful consultation with education social partners.  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
</pre>",POSITIVE
tika_2665590_1,ngo,../24212003_requirements_for_artificial_intelligence/attachments/2665590.pdf,1,1,2665590,attachments/2665590.pdf#page=1,Is the line order correct?,"<pre>Putting startups at the heart of AI innovation - CroAI’s opinion on the European
Commission’s Artificial Intelligence Act


In April 2021, the European Commission (EC) published its much-awaited Artificial Intelligence
Act (AIA), the first global attempt to establish a legal framework for a technology that, as the AIA
states, carries both benefits and risks to humans and society. The Croatian AI Association
(CroAI) welcomes the EC’s efforts to set its own approach to AI, as it previously did with privacy.
However, our main concern is that the AIA does not adequately address the needs of start-ups,
who are the main drivers of innovation.


CroAI believes that the AIA must be an enabler of AI innovation and strongly stand behind
startu-ps, especially during prototyping and testing while pursuing a product-market fit. We
therefore advocate for the AIA to include unequivocal support for innovators by mandating the
following measures:


1. Startups are allowed to create their own sandboxes on a case-by-case basis rather than
a one-size-fits all approach, due to the unique nature of each test.


2. Start-ups will follow a Code of conduct. The Code of conduct will help them mitigate risks
while testing through tools such as limiting the number of test users, human oversight,
purchasing insurance, transparency, and accountability.


3. While in their sandboxes, startups do not need to involve supervisory authorities. Still,
they are accountable for complying with the Code of conduct.


4. When leaving their sandboxes, which means that they have found a product-market fit,
startups need to invest in fully complying with AIA rules and regulations, which will make
much more sense at that time in a product’s development cycle.


The principal concern founders and investors have when thinking about doing AI in Europe is
the cost and unpredictability of complying with the AIA. They see it as an unnecessary risk and
a burden that they can easily avoid by moving a start-up to some other innovation hub in the
world. CroAI believes that by integrating these measures into the AIA, the EC will address most
of those concerns and make the EU an excellent choice for AI innovation.


CroAI is at the European Commission’s disposal to elaborate more on the reasoning behind this
proposal and how to get it to life.</pre>",POSITIVE
tika_2665616_3,trade_union,../24212003_requirements_for_artificial_intelligence/attachments/2665616.pdf,3,3,2665616,attachments/2665616.pdf#page=3,Is the line order correct?,"<pre>14. In order to make these provisions effective, FNA calls for greater market vigilance by a dedicated service being empowered to taking 


emergency measures to restore competition. In 2010, the European Economic and Social Committee (EESC) recommended this continuous 


market surveillance to ensure consumer’s choice: “fair competition is the best way to promote economic efficiency, consumer choice and 


safety in the car repair market. The actual choice should be analysed regularly. If the analysis concludes that there is market distortion, any 


corrective measures to be introduced should be assessed.7” 


15. National competition authorities do need more complete powers, in order to give consumers the best possible protection from 


anticompetitive behaviours, as stressed by Commissioner Margrethe VESTAGER’s statement.8 They need the financial and human resources 


to collect and go through the evidence. 


Federation of Craft Businesses in the automotive sector and in mobility services (FNA)                                                    August 2021 


 
7 Information Report of the European Economic and Social Committee (EESC) INT / 501 of 6 September 2010, paragraph 1.1 
 Collision damage claims management: how to ensure the consumer's freedom of choice and security? INT/501 – CESE 395/2010 fin EN/o-FR/NT/nm 
8 Statement 17/726 by Commissioner VESTAGER on Commission proposal to make national competition authorities even more effective enforcers for the 
benefit of jobs and growth, 22 March 2017</pre>",POSITIVE
fitz_2662901_2,business_association,../24212003_requirements_for_artificial_intelligence/attachments/2662901.pdf,10,2,2662901,attachments/2662901.pdf#page=2,Is the line order correct?,"<pre> 
 
EUROPEAN ASSOCIATION OF CO-OPERATIVE BANKS 
The Co-operative Difference : Sustainability, Proximity, Governance 
 
2 
 
Introduction 
 
The European Association of Co-operative Banks (EACB) is happy to contribute to the discussion 
on the Artificial Intelligence (AI) legislative proposal. 
 
The EACB recognises that the AI proposal is the Commission’s first ever legal framework on the 
matter, which addresses the risks of AI and aims to position Europe to play a leading role globally. 
It should be recognised that this is a risky bet. If European values were not ultimately adopted 
on an international scale, European companies would be at a disadvantage compared to non-
European players active in less restrictive regulatory environments. 
 
We believe that the European Commission, the European Parliament and the Council should 
remain vigilant to ensure that European players are not unduly constrained in their prospect of 
developing innovative AI solutions compared to international competitors. 
 
We would like to highlight the following points: 
 
• 
The EACB welcomes the Commission’s risk-based approach as basis for a proportionate 
legal text. The Commission suggests a risk-pyramid approach: the higher the risk (for 
users) using AI system, the more additional measures. 
 
• 
We appreciate the technology-neutral and future-proof definition of AI, recognising that 
AI is a “fast evolving family of technologies” that is constantly developing. Nevertheless, 
combining the definition of artificial intelligence system together with the techniques and 
approaches of Annex I of the proposal, we observe that the scope of the Regulation is 
becoming quite wide as it also includes rule-based approaches. 
 
• 
We believe it is of paramount importance to make sure that the AI proposal will not add 
new and burdensome requirements for the banking sector and create conflicts and 
overlaps with existing rules: e.g., sector-specific regulation (CRD, CRR). 
 
• 
We particularly value the Commission’s human-centric perspective in designing AI rules: 
o 
The responsibility for an action or a decision still lies with a human being; 
o 
Actions and decisions of an AI system have to be traceable and understandable by 
humans using it; and 
o 
Actions and decisions of an AI system can always be changed/corrected by a human 
being (human oversight). 
 
• 
We understand that the Regulation’s intention is to protect the safety and fundamental 
rights of EU citizens, thus that the requirements for high-risk AI systems are only targeted 
at AI applications that could possibly pose risks to natural persons. 
 
• 
Generally, some provisions of the Regulation contain somewhat vague wording, e.g., the 
definitions provided for “remote biometric identification system” and “user”. Moreover, we 
believe that the definition of ‘developer’ and ‘end user’ are missing from the legal text. 
These points should be further clarified in order to guarantee legal certainty for providers, 
developers and users of AI systems. 
</pre>",POSITIVE
pdfminer_2665205_3,trade_union,../24212003_requirements_for_artificial_intelligence/attachments/2665205.pdf,4,3,2665205,attachments/2665205.pdf#page=3,Is the line order correct?,"<pre>preserving the professional and pedagogical autonomy and academic freedom of teachers 
and academics. 
Transparency and AI literacy and CPD of teachers on AI: 
ETUCE welcomes that the proposal of AI Regulation requires that users of AI tools (who 
include students, teachers, academic and education staff for the education sector) must be 
adequately  informed  about  the  intended  purpose,  level  of  accuracy,  residual  risks  of  AI 
tools. Nevertheless, ETUCE highlights that providing information is not sufficient to ensure 
the transparency of the AI tools when users miss the adequate digital skills and data and AI 
literacy to interpret it. Therefore, it is of utmost importance to improve the importance of 
digital skills, AI literacy and data literacy in educational curricula and raise awareness on 
the  risks  related  to  the  use  of  AI  tools  in  education.  It  is  also  essential  to  ensure  that 
infrastructures of education institutions are adequately equipped for digital education as 
well as to provide  equal access to digital  technologies and ICT  tools to all teachers and 
students, with particular attention to the most disadvantaged groups. To these purposes, 
sustainable  public  investment  should  be  provided  by  national  governments  and  the 
European Commission should provide financial support through European funding such as 
Horizon Europe, Digital Europe and in the framework of National Recovery and Resilience 
Facility. 
While the AI Regulation blandly mention to the possibility of providing users with training 
on Artificial Intelligence, ETUCE emphasises that it is crucial that sustainable public funding 
are provided at national and European level to ensure that teachers, trainers, academics 
and other education personnel receive up-to-date and free of charge continuous training 
and professional development on the use of AI tools in accordance with their professional 
needs.  
EdTech expansion and issues of intellectual property rights, data privacy of teachers:   
ETUCE points out that the development of the use of Artificial Intelligence in education has 
been  accompanied  by  the  expansion  of  Ed-tech  companies  that  are  progressively 
increasing  their  influence  in  the  education  sector,  especially  under  the  pressure  of 
emergency  online  teaching  and  learning  during  the COVID-19  pandemic.  ETUCE  reminds 
that education is a human right and public good whose value needs to be protected. ETUCE 
calls for further public responsibility from national governments that should not limit their 
scope to regulating the EdTech sector and should develop and implement public platforms 
for online teaching and learning to protect the public value of education. In addition, public 
platforms should be implemented in full respect of professional autonomy of teachers and 
education personnel as well as academic freedom and autonomy of education institutions, 
without  creating  pressure on teachers and education personnel  regarding the education 
material and pedagogical methods they use. It is also essential to protect the accountability 
and  transparency  in  the  governance  of  public  education  systems  from  the  influence  of 
private and commercial interests and actors.  
3 
 
 
 
 
</pre>",POSITIVE
PyPDF2_2665452_2,company,../24212003_requirements_for_artificial_intelligence/attachments/2665452.pdf,4,2,2665452,attachments/2665452.pdf#page=2,Is the line order correct?,"<pre> 
    Press release  
Date   12 October 2020  
Subject   BMW Group code of ethics for artificial intelligence.  
Page   2 
 
  
 
Corporate Communications  
Seven principles covering the development and application of artificial 
intelligence at the BMW Group:  
• Human agency and oversight.  
The BMW Group implements appropriate human monitoring of decisions made by 
AI applications and considers possible ways that humans can overrule algorithmic 
decisions.  
• T echnical robustness and safety.  
The BMW Group aims to develop robust AI applications and observes the applicable 
safety standards d esigned to decrease the risk of unintended consequences and 
errors.  
• Privacy and data governance.   
The BMW Group extends its state -of-the-art data privacy and data security 
measures to cover storage and processing in AI applications.  
• Transparency.   
The BMW Gr oup aims for explainability of AI applications and open communication 
where respective technologies are used.  
• Diversity, non -discrimination and fairness.  
The BMW Group respects human dignity and therefore sets out to build fair AI 
applications. This includ es preventing non -compliance by AI applications.  
• Environmental and societal well -being.  
The BMW Group is committed to developing and using AI applications that promote 
the well -being of customers, employees and partners. This aligns with the BMW 
Group’s go als in the areas of human rights and sustainability, which includes climate 
change and environmental protection.  </pre>",POSITIVE
