id,user_type,filename,n_pages,page,line,source_id,source,task,content,result
tika_2665600_1,eu_citizen,../24212003_requirements_for_artificial_intelligence/attachments/2665600.pdf,6,1,9,2665600,attachments/2665600.pdf#page=1,Is the highlighted line correct?,"<span>Line 9:</span><pre>8-6-2021</pre><pre style=""font-weight: 700;"">8-6-2021</pre>",POSITIVE
fitz_2665406_3,ngo,../24212003_requirements_for_artificial_intelligence/attachments/2665406.pdf,10,3,8,2665406,attachments/2665406.pdf#page=3,Is the highlighted line correct?,"<span>Line 8:</span><pre>opportunities of these systems.4 In addition, the definition setting the scope of the Act focuses on </pre><pre style=""font-weight: 700;"">the type of technology involved, which opens the door for operators to circumvent the scope of its </pre><pre>provision by denying that their system falls under the respective definition.  </pre>",POSITIVE
tika_2665314_4,public_authority,../24212003_requirements_for_artificial_intelligence/attachments/2665314.pdf,6,4,3,2665314,attachments/2665314.pdf#page=4,Is the highlighted line correct?,"<span>Line 3:</span><pre>assessments for high-risk AI-systems before they go on the market also in the cases </pre><pre style=""font-weight: 700;"">where they are not part of a product required through other regulation to undergo such an </pre><pre>assessment.  </pre>",POSITIVE
fitz_2665432_1,ngo,../24212003_requirements_for_artificial_intelligence/attachments/2665432.pdf,7,1,9,2665432,attachments/2665432.pdf#page=1,Is the highlighted line correct?,"<span>Line 9:</span><pre>example, banks use AI to track suspicious activities and prevent fraud; public authorities </pre><pre style=""font-weight: 700;"">use it to process and answer citizen requests; smart phones integrate virtual personal </pre><pre>assistants that resort to AI; and social media applications use AI to organise, moderate </pre>",POSITIVE
fitz_2662611_2,other,../24212003_requirements_for_artificial_intelligence/attachments/2662611.pdf,7,2,7,2662611,attachments/2662611.pdf#page=2,Is the highlighted line correct?,"<span>Line 7:</span><pre>The AI Act is not applicable to the military </pre><pre style=""font-weight: 700;"">No new individual rights are attributed </pre><pre>Obligations are imposed mainly on providers </pre>",POSITIVE
fitz_2662770_2,business_association,../24212003_requirements_for_artificial_intelligence/attachments/2662770.pdf,6,2,3,2662770,attachments/2662770.pdf#page=2,Is the highlighted line correct?,"<span>Line 3:</span><pre>Legal Department - July 2021 2 </pre><pre style=""font-weight: 700;"">On 21 April 2021, the European Commission proposed a new regulation on Artificial Intelligence (AI) aiming </pre><pre>at providing a harmonized legal framework at European level. </pre>",POSITIVE
fitz_2660610_3,eu_citizen,../24212003_requirements_for_artificial_intelligence/attachments/2660610.pdf,8,3,1,2660610,attachments/2660610.pdf#page=3,Is the highlighted line correct?,"<span>Line 1:</span><pre style=""font-weight: 700;"">it is, it allows for the Regulation to focus on catching all AI possible (without</pre><pre>hampering innovation), and leave it up for the Annex I to deﬁne further. While</pre>",POSITIVE
tika_2665345_2,consumer_organisation,../24212003_requirements_for_artificial_intelligence/attachments/2665345.pdf,17,2,9,2665345,attachments/2665345.pdf#page=2,Is the highlighted line correct?,"<span>Line 9:</span><pre>Zu begrüßen ist, dass ein breit angelegter Prozess, dieses zukunftsweisende Thema aufgreift und ver-</pre><pre style=""font-weight: 700;"">sucht, einen Rahmen zu Förderung, Entwicklung und Einsatz, sowie zur Regulierung zu schaffen. Es </pre><pre>wurde dabei ein risikobasierter Ansatz gewählt, der unabhängig von der Technologie die Auswirkungen </pre>",POSITIVE
fitz_2665484_5,academic_research_institution,../24212003_requirements_for_artificial_intelligence/attachments/2665484.pdf,15,5,7,2665484,attachments/2665484.pdf#page=5,Is the highlighted line correct?,"<span>Line 7:</span><pre>surveillance by private companies or actors, which would limited only by existing regulations, </pre><pre style=""font-weight: 700;"">such as the General Data Protection Regulation. This is not a hypothetical impact. Such systems </pre><pre>are already in use by private companies in the EU.24 Finally, this modified “prohibition” falls far </pre>",POSITIVE
fitz_2663341_2,business_association,../24212003_requirements_for_artificial_intelligence/attachments/2663341.pdf,4,2,9,2663341,attachments/2663341.pdf#page=2,Is the highlighted line correct?,"<span>Line 9:</span><pre>comfortable with the Union Harmonization Legislation, regulation 2019/1020 etc. </pre><pre style=""font-weight: 700;""> 2) The definition of AI system (art 3 (1)) is unclear. As a matter of fact, not all users install an AI software </pre><pre>internally. Some of them access the output (prediction, recommendation, decision, indicator …) only, </pre>",POSITIVE
