id,page,content,result,source,task
2660510,5,"<code style=""font-weight: 1000;"">Foonote: 1</code><br><code> Europeiska dataskyddsstyrelsen </code><br><br><br>",POSITIVE,attachments/2660510.pdf#page=5,"Are footnotes correctly resolved? (Anything wrong, including another footnote's text inside a footnotes resolution? 👎 Some footnotes are missing but the one's that are there are good? 👌 All footnotes resolved correctly? 👍) "
2665469,2,"<code style=""font-weight: 1000;"">Foonote: 1</code><br><code> Draft text of the Recommendation on the Ethics of Artificial Intelligence - UNESCO Digital Library </code><br><br><br>",POSITIVE,attachments/2665469.pdf#page=2,"Are footnotes correctly resolved? (Anything wrong, including another footnote's text inside a footnotes resolution? 👎 Some footnotes are missing but the one's that are there are good? 👌 All footnotes resolved correctly? 👍) "
2663310,11,"<code style=""font-weight: 1000;"">Foonote: 17</code><br><code> UNESCO Recommendation on the Ethics of AI (2021), </code><br>    <code>https://unesdoc.unesco.org/ark:/48223/pf0000377897 </code><br><br><br>",POSITIVE,attachments/2663310.pdf#page=11,"Are footnotes correctly resolved? (Anything wrong, including another footnote's text inside a footnotes resolution? 👎 Some footnotes are missing but the one's that are there are good? 👌 All footnotes resolved correctly? 👍) "
2665582,3,"<code style=""font-weight: 1000;"">Foonote: 4</code><br><code> https://www.project-sherpa.eu/ai-impact-assessment/ </code><br><br><br><code style=""font-weight: 1000;"">Foonote: 5</code><br><code> https://www.project-sherpa.eu/ai-ethics-officer/ </code><br><br><br>",POSITIVE,attachments/2665582.pdf#page=3,"Are footnotes correctly resolved? (Anything wrong, including another footnote's text inside a footnotes resolution? 👎 Some footnotes are missing but the one's that are there are good? 👌 All footnotes resolved correctly? 👍) "
2665463,2,"<code style=""font-weight: 1000;"">Foonote: 2</code><br><code> DIHK e.V., 2021. Digitalisation with Challenges – The Chamber of Commerce and Industry Survey on Digitalisation. Evaluation of a company survey from 1 November to 4 December 2020. </code><br><br><br><code style=""font-weight: 1000;"">Foonote: 3</code><br><code> DIHK e.V., 2020. Time for Innovation – DIHK Innovation Report 2020. Evaluation of a Company Survey from 10 </code><br>    <code>February to 23 April 2020. </code><br><br><br>",POSITIVE,attachments/2665463.pdf#page=2,"Are footnotes correctly resolved? (Anything wrong, including another footnote's text inside a footnotes resolution? 👎 Some footnotes are missing but the one's that are there are good? 👌 All footnotes resolved correctly? 👍) "
2663348,1,"<code style=""font-weight: 1000;"">Foonote: 1</code><br><code> Samoili, S., López Cobo, M., Gómez, E., De Prato, G., Martínez-Plumed, F., and Delipetrev, B., AI Watch. </code><br>    <code>Defining Artificial Intelligence. Towards an operational definition and taxonomy of artificial intelligence, EUR </code><br>    <code>30117 EN, Publications Office of the European Union, Luxembourg, 2020, ISBN 978-92-76-17045-7, </code><br>    <code>doi:10.2760/382730, JRC118163. </code><br><br><br>",POSITIVE,attachments/2663348.pdf#page=1,"Are footnotes correctly resolved? (Anything wrong, including another footnote's text inside a footnotes resolution? 👎 Some footnotes are missing but the one's that are there are good? 👌 All footnotes resolved correctly? 👍) "
2665403,1,"<code style=""font-weight: 1000;"">Foonote: 1</code><br><code> EBA Report on Big Data and Advanced Analytics (2020) </code><br><br><br>",POSITIVE,attachments/2665403.pdf#page=1,"Are footnotes correctly resolved? (Anything wrong, including another footnote's text inside a footnotes resolution? 👎 Some footnotes are missing but the one's that are there are good? 👌 All footnotes resolved correctly? 👍) "
2665542,1,"<code style=""font-weight: 1000;"">Foonote: 1</code><br><code> https://onfido.com/resources/blog/onfido-wins-best-innovation-in-algorithmic-bias-mitigation-outstanding-leader-inaccessibility-at-cogx-2020 </code><br><br><br><code style=""font-weight: 1000;"">Foonote: 2</code><br><code> https://onfido.com/landing/fraud-report-2020/ </code><br><br><br>",POSITIVE,attachments/2665542.pdf#page=1,"Are footnotes correctly resolved? (Anything wrong, including another footnote's text inside a footnotes resolution? 👎 Some footnotes are missing but the one's that are there are good? 👌 All footnotes resolved correctly? 👍) "
2665425,6,"<code style=""font-weight: 1000;"">Foonote: 1</code><br><code> European Commission: Proposal for a Regulation of the European Parliament and of the Council laying down </code><br>    <code>harmonised rules on artificial intelligence (Artificial Intelligence Act) and amending certain Union legislative acts </code><br>    <code>(COM(2021) 206 final) (hereafter ‘AIA’) (2021), URL: https://eur-lex.europa.eu/legalcontent/EN/TXT/?qid=1623335154975&uri=CELEX%3A52021PC0206 [Access: 20.07.2021]. </code><br><br><br>",POSITIVE,attachments/2665425.pdf#page=6,"Are footnotes correctly resolved? (Anything wrong, including another footnote's text inside a footnotes resolution? 👎 Some footnotes are missing but the one's that are there are good? 👌 All footnotes resolved correctly? 👍) "
2665329,2,"<code style=""font-weight: 1000;"">Foonote: 1</code><br><code> Explanatory Memorandum </code><br>    <code>2 Davenport & Kalakota (2019). The potential for Artificial Intelligence in healthcare. Future Healthcare Journal, 6(2): 94-98. </code><br><br><br>",WRONG_RESOLUTION,attachments/2665329.pdf#page=2,"Are footnotes correctly resolved? (Anything wrong, including another footnote's text inside a footnotes resolution? 👎 Some footnotes are missing but the one's that are there are good? 👌 All footnotes resolved correctly? 👍) "
