topic_model__doc_topic_prior,topic_model__n_components,topic_model__topic_word_prior,score
,3,,1099.0206454843358
,3,0.05,1184.0481096189094
,3,0.1,1140.7120326345637
,3,0.5,1097.7427038000649
,3,1.0,1119.2080841652357
,3,5.0,1396.1446599805163
,3,10.0,1647.5763394905528
,5,,1146.9808124307872
,5,0.05,1240.308413575475
,5,0.1,1182.506361495264
,5,0.5,1139.9126212636256
,5,1.0,1181.7486459560848
,5,5.0,1542.176389024887
,5,10.0,1694.7974801847897
,7,,1210.6269754347309
,7,0.05,1301.441374059392
,7,0.1,1233.854714900164
,7,0.5,1198.3328586566952
,7,1.0,1258.4271617325496
,7,5.0,1598.3298673485592
,7,10.0,1644.3394837911885
,9,,1279.9251254770327
,9,0.05,1362.582877944813
,9,0.1,1288.0959097462626
,9,0.5,1261.1748937968787
,9,1.0,1331.3519352078788
,9,5.0,1570.62358678345
,9,10.0,1625.7609799674872
,11,,1345.270374573201
,11,0.05,1416.329045076754
,11,0.1,1336.7565942371834
,11,0.5,1314.0222435281328
,11,1.0,1383.957009969407
,11,5.0,1582.7947725699494
,11,10.0,1637.824498410229
,13,,1407.9550462503125
,13,0.05,1465.788097751693
,13,0.1,1381.655863770115
,13,0.5,1362.861691899961
,13,1.0,1428.6906036815838
,13,5.0,1575.4390670975529
,13,10.0,1668.4445161336348
,15,,1472.5853498110334
,15,0.05,1515.6354500994348
,15,0.1,1426.3670351938315
,15,0.5,1389.1446835394777
,15,1.0,1452.3497063027658
,15,5.0,1612.48601862529
,15,10.0,1603.64910592633
,17,,1537.8974314990994
,17,0.05,1565.1784471056133
,17,0.1,1471.9206827678315
,17,0.5,1442.9049392981437
,17,1.0,1500.3584160267642
,17,5.0,1621.9989856517514
,17,10.0,1601.318274149452
,20,,1634.7130137042168
,20,0.05,1634.7130137042168
,20,0.1,1535.489868459724
,20,0.5,1487.500134618175
,20,1.0,1521.0872776647852
,20,5.0,1610.8543692555402
,20,10.0,1620.869247867416
,25,,1811.5034305188624
,25,0.05,1759.3220691091028
,25,0.1,1652.4586654891348
,25,0.5,1570.5106683313998
,25,1.0,1564.6950367352235
,25,5.0,1655.4316600961652
,25,10.0,1633.6270236848954
,30,,2005.9251632322735
