topic_model__doc_topic_prior,topic_model__n_components,topic_model__topic_word_prior,score
,3,0.5,0.36646512863743624
0.1,5,0.5,0.38365067290572147
0.1,7,0.5,0.37435689386057497
0.1,9,0.5,0.41261308614844405
0.05,10,0.5,0.42323928364009616
0.05,11,0.5,0.4480156932557882
0.05,12,0.5,0.45691093724027865
0.05,13,0.5,0.4536039820579486
0.05,15,0.5,0.4834713070640504
0.05,17,0.5,0.4263851894483225
0.05,20,0.5,0.43059164408643696
,20,0.5,0.43059164408643696
,22,0.5,0.4767697921857121
0.01,25,1.0,0.42985551419661083
0.01,27,1.0,0.44215458161391397
0.01,30,3.5,0.44096106340772573
0.005,32,10.0,0.4181702639003103
0.005,35,10.0,0.4257486368584895
0.01,37,2.5,0.4668635520282238
0.005,40,6.5,0.4180118676651525
0.01,42,2.5,0.4537968910388925
0.005,45,2.5,0.4518686040193198
0.005,47,2.5,0.44855953032006096
0.005,50,8.5,0.4223923483829365
