doc_mode,chunk_mode,model,n_topics
all_page,none,doc2vec,28
all_page,none,universal-sentence-encoder,12
all_page,none,distiluse-base-multilingual-cased,4
all_page,none,universal-sentence-encoder-multilingual,25
all_page,sentencize,doc2vec,31
all_page,sentencize,universal-sentence-encoder,4
all_page,sentencize,distiluse-base-multilingual-cased,24
all_page,sentencize,universal-sentence-encoder-multilingual,27
all_page,built-in_defaults,doc2vec,6
all_page,built-in_defaults,universal-sentence-encoder,4
all_page,built-in_defaults,distiluse-base-multilingual-cased,4
all_page,built-in_defaults,universal-sentence-encoder-multilingual,3
all_doc,none,doc2vec,2
all_doc,none,universal-sentence-encoder,2
all_doc,none,distiluse-base-multilingual-cased,3
all_doc,none,universal-sentence-encoder-multilingual,3
all_doc,sentencize,doc2vec,2
all_doc,sentencize,universal-sentence-encoder,2
all_doc,sentencize,distiluse-base-multilingual-cased,2
all_doc,sentencize,universal-sentence-encoder-multilingual,2
all_doc,built-in_defaults,doc2vec,2
all_doc,built-in_defaults,universal-sentence-encoder,2
all_doc,built-in_defaults,distiluse-base-multilingual-cased,2
all_doc,built-in_defaults,universal-sentence-encoder-multilingual,2
all_line,none,doc2vec,595
all_line,none,universal-sentence-encoder,462
all_line,none,distiluse-base-multilingual-cased,515
all_line,none,universal-sentence-encoder-multilingual,466
all_line,sentencize,doc2vec,598
all_line,sentencize,universal-sentence-encoder,481
all_line,sentencize,distiluse-base-multilingual-cased,491
all_line,sentencize,universal-sentence-encoder-multilingual,478
all_line,built-in_defaults,doc2vec,572
all_line,built-in_defaults,universal-sentence-encoder,483
all_line,built-in_defaults,distiluse-base-multilingual-cased,507
all_line,built-in_defaults,universal-sentence-encoder-multilingual,466
en_page,none,doc2vec,26
en_page,none,universal-sentence-encoder,6
en_page,none,distiluse-base-multilingual-cased,2
en_page,sentencize,doc2vec,26
en_page,sentencize,universal-sentence-encoder,22
en_page,sentencize,distiluse-base-multilingual-cased,23
en_page,built-in_defaults,doc2vec,21
en_page,built-in_defaults,universal-sentence-encoder,19
en_page,built-in_defaults,distiluse-base-multilingual-cased,24
en_doc,none,doc2vec,2
en_doc,none,universal-sentence-encoder,2
en_doc,none,distiluse-base-multilingual-cased,3
en_doc,sentencize,doc2vec,2
en_doc,sentencize,universal-sentence-encoder,1
en_doc,sentencize,distiluse-base-multilingual-cased,2
en_doc,built-in_defaults,doc2vec,2
en_doc,built-in_defaults,universal-sentence-encoder,1
en_doc,built-in_defaults,distiluse-base-multilingual-cased,2
en_line,none,doc2vec,399
en_line,none,universal-sentence-encoder,430
en_line,none,distiluse-base-multilingual-cased,427
en_line,sentencize,doc2vec,403
en_line,sentencize,universal-sentence-encoder,417
en_line,sentencize,distiluse-base-multilingual-cased,445
en_line,built-in_defaults,doc2vec,426
en_line,built-in_defaults,universal-sentence-encoder,406
en_line,built-in_defaults,distiluse-base-multilingual-cased,421
